Territorial authority code (2018 areas),Territorial authority description,
Area_Code,Area_Description,Employed Full time
001,Far North District,20163
002,Whangarei District,32430
003,Kaipara District,7803
011,Thames-Coromandel District,9414
012,Hauraki District,6708
013,Waikato District,30771
015,Matamata-Piako District,13566
016,Hamilton City,62763
017,Waipa District,21927
018,Otorohanga District,3984
019,South Waikato District,8259
020,Waitomo District,3597
021,Taupo District,14385
022,Western Bay of Plenty District,19869
023,Tauranga City,51591
024,Rotorua District,27117
025,Whakatane District,12303
026,Kawerau District,1857
027,Opotiki District,3108
028,Gisborne District,17064
029,Wairoa District,2682
030,Hastings District,32094
031,Napier City,23535
032,Central Hawke's Bay District,5640
033,New Plymouth District,30669
034,Stratford District,3672
035,South Taranaki District,10398
036,Ruapehu District,4719
037,Whanganui District,15159
038,Rangitikei District,5742
039,Manawatu District,12321
040,Palmerston North City,32877
041,Tararua District,6459
042,Horowhenua District,10905
043,Kapiti Coast District,18792
044,Porirua City,22524
045,Upper Hutt City,18582
046,Lower Hutt City,43563
047,Wellington City,96453
048,Masterton District,9420
049,Carterton District,3492
050,South Wairarapa District,4239
051,Tasman District,20061
052,Nelson City,19311
053,Marlborough District,19530
054,Kaikoura District,1806
055,Buller District,3231
056,Grey District,5295
057,Westland District,3975
058,Hurunui District,5277
059,Waimakariri District,23925
060,Christchurch City,153480
062,Selwyn District,27345
063,Ashburton District,14211
064,Timaru District,18456
065,Mackenzie District,2451
066,Waimate District,3081
067,Chatham Islands Territory,318
068,Waitaki District,8529
069,Central Otago District,9615
070,Queenstown-Lakes District,21660
071,Dunedin City,45888
072,Clutha District,7539
073,Southland District,13956
074,Gore District,5121
075,Invercargill City,21885
076,Auckland,652797
999,Area Outside Territorial Authority,15
Total,Total NZ (Territorial Authority),1891371
