Territorial authority code (2018 areas),Territorial authority description,
Area_Code,Area_Description,Employed Full time
001,Far North District,16758
002,Whangarei District,25509
003,Kaipara District,6201
011,Thames-Coromandel District,8772
012,Hauraki District,5994
013,Waikato District,21558
015,Matamata-Piako District,11604
016,Hamilton City,48681
017,Waipa District,16995
018,Otorohanga District,3447
019,South Waikato District,7206
020,Waitomo District,3549
021,Taupo District,12333
022,Western Bay of Plenty District,15192
023,Tauranga City,37176
024,Rotorua District,23883
025,Whakatane District,10860
026,Kawerau District,1806
027,Opotiki District,2481
028,Gisborne District,14664
029,Wairoa District,2895
030,Hastings District,26703
031,Napier City,20763
032,Central Hawke's Bay District,5406
033,New Plymouth District,25662
034,Stratford District,3408
035,South Taranaki District,10200
036,Ruapehu District,5139
037,Whanganui District,14028
038,Rangitikei District,5625
039,Manawatu District,10485
040,Palmerston North City,30606
041,Tararua District,6894
042,Horowhenua District,9603
043,Kapiti Coast District,15159
044,Porirua City,17802
045,Upper Hutt City,15396
046,Lower Hutt City,39063
047,Wellington City,81150
048,Masterton District,8058
049,Carterton District,2733
050,South Wairarapa District,3483
051,Tasman District,17355
052,Nelson City,16383
053,Marlborough District,17616
054,Kaikoura District,1512
055,Buller District,3441
056,Grey District,5226
057,Westland District,3615
058,Hurunui District,4284
059,Waimakariri District,16602
060,Christchurch City,134301
062,Selwyn District,14619
063,Ashburton District,11436
064,Timaru District,15771
065,Mackenzie District,1719
066,Waimate District,2616
067,Chatham Islands Territory,276
068,Waitaki District,7413
069,Central Otago District,7125
070,Queenstown-Lakes District,12048
071,Dunedin City,42255
072,Clutha District,7074
073,Southland District,13143
074,Gore District,4827
075,Invercargill City,19278
076,Auckland,496071
999,Area Outside Territorial Authority,96
Total,Total NZ (Territorial Authority),1531020
