code,area,year,total_incidents,total_action_taken,warning_letters,fixed_penalty_notices,statutory_notices,formal_cautions,injunctions,prosecutions
E09000001,City of London,2011-12,527,563,149,182,3,0,0,0
E09000002,Barking and Dagenham,2011-12,"3,665","2,687",140,78,110,0,0,0
E09000003,Barnet,2011-12,"1,450","2,356",337,46,0,0,0,0
E09000004,Bexley Council,2011-12,980,505,0,36,0,0,0,19
E09000005,Brent,2011-12,"7,272","6,713",679,558,"1,100",28,0,11
E09000006,Bromley,2011-12,"2,222",306,16,9,16,2,0,5
E09000007,Camden,2011-12,"6,679","5,541",465,31,55,1,0,0
E09000008,Croydon,2011-12,"2,740",31,17,6,4,0,0,0
E09000009,Ealing,2011-12,"4,964","6,727","3,852",82,193,4,0,23
E09000010,Enfield,2011-12,"19,486","7,262",191,"4,483",478,5,0,576
E09000011,Greenwich,2011-12,"5,120","6,344",19,974,36,1,0,7
E09000012,Hackney,2011-12,"1,030","2,332",22,18,171,0,0,0
E09000013,Hammersmith and Fulham,2011-12,"5,700","6,944",0,389,"3,300",2,0,10
E09000014,Haringey,2011-12,"15,713","8,817","1,455",280,796,18,0,49
E09000015,Harrow,2011-12,"8,037","1,053",177,0,6,6,0,2
E09000016,Havering,2011-12,"2,972","13,970","7,354",657,"1,264",0,0,9
E09000017,Hillingdon,2011-12,"4,398","5,120",60,"2,208",144,0,0,0
E09000018,Hounslow,2011-12,"17,059","1,234",8,0,0,0,0,0
E09000019,Islington,2011-12,"2,048","6,959","1,119","3,595",610,0,0,20
E09000020,Kensington and Chelsea,2011-12,"5,482","4,773",0,120,0,0,0,0
E09000021,Kingston Upon Thames,2011-12,239,0,0,0,0,0,0,0
E09000022,Lambeth,2011-12,"1,696",598,0,212,31,0,0,0
E09000023,Lewisham,2011-12,"15,757",789,164,101,22,15,0,18
E09000024,Merton,2011-12,"2,526","1,279",171,255,42,2,0,17
E09000025,Newham,2011-12,"40,499","9,593",1,"8,876",234,0,0,0
E09000026,Redbridge,2011-12,"5,110","6,114","3,172",66,286,0,0,4
E09000027,Richmond Upon Thames,2011-12,"3,208","2,610",645,16,1,1,0,3
E09000028,Southwark,2011-12,"16,823",0,0,0,0,0,0,0
E09000029,Sutton,2011-12,"1,479","1,255",65,120,112,0,0,4
E09000030,Tower Hamlets,2011-12,"6,184","3,251",790,"1,079",297,0,0,0
E09000031,Waltham Forest,2011-12,"4,456","17,182",252,991,"6,031",0,0,155
E09000032,Wandsworth,2011-12,"1,561","8,226","4,609",255,0,366,0,32
E09000033,Westminster,2011-12,"14,694","8,367","1,943","5,622",0,0,0,0
E09000001,City of London,2012-13,449,"1,492",658,245,3,0,0,0
E09000002,Barking and Dagenham,2012-13,"2,417","2,122",123,49,56,0,0,0
E09000003,Barnet,2012-13,"1,697","1,828",264,67,0,0,0,0
E09000004,Bexley Council,2012-13,"1,038",627,38,47,0,0,0,1
E09000005,Brent,2012-13,"6,911","2,232",182,184,268,12,0,9
E09000006,Bromley,2012-13,"2,495",479,21,24,15,1,0,2
E09000007,Camden,2012-13,"11,477","5,962",0,0,1,0,0,0
E09000008,Croydon,2012-13,"11,150",108,12,12,24,0,0,0
E09000009,Ealing,2012-13,"6,352","5,679","3,506",30,79,3,0,15
E09000010,Enfield,2012-13,"17,871","3,595",167,663,160,3,0,557
E09000011,Greenwich,2012-13,"5,170","7,482",31,"1,788",186,0,0,2
E09000012,Hackney,2012-13,599,"1,456",35,17,283,0,0,25
E09000013,Hammersmith and Fulham,2012-13,"7,079","1,719",0,68,40,0,0,2
E09000014,Haringey,2012-13,"12,398","4,719",300,335,548,5,0,2
E09000015,Harrow,2012-13,"6,228",0,0,0,0,0,0,0
E09000016,Havering,2012-13,"2,842","13,762","7,637",459,"1,778",0,0,17
E09000017,Hillingdon,2012-13,"4,506","4,188",0,"3,770",418,0,0,0
E09000018,Hounslow,2012-13,"13,934","1,030",0,0,0,0,0,0
E09000019,Islington,2012-13,"2,231","6,167",649,"3,797",497,0,0,9
E09000020,Kensington and Chelsea,2012-13,"6,075","5,009",1,335,0,0,0,0
E09000021,Kingston Upon Thames,2012-13,126,0,0,0,0,0,0,0
E09000022,Lambeth,2012-13,"1,454",0,0,0,0,0,0,0
E09000023,Lewisham,2012-13,"10,604","1,083",203,22,50,8,0,23
E09000024,Merton,2012-13,"3,098","1,299",193,244,17,0,0,2
E09000025,Newham,2012-13,"28,443","7,283",0,"6,086",352,0,0,0
E09000026,Redbridge,2012-13,"6,986","6,913","2,942",94,106,2,0,4
E09000027,Richmond Upon Thames,2012-13,"2,608","2,291",637,12,1,0,0,13
E09000028,Southwark,2012-13,"25,894","1,194",1,182,148,0,0,0
E09000029,Sutton,2012-13,"1,512",201,35,8,2,0,0,0
E09000030,Tower Hamlets,2012-13,"3,732","4,909","2,190","1,256",334,0,0,0
E09000031,Waltham Forest,2012-13,"3,951","17,049",95,"1,162","4,913",0,0,74
E09000032,Wandsworth,2012-13,"1,546","5,166","2,136",140,0,232,0,8
E09000033,Westminster,2012-13,"19,021","6,636","1,822","3,611",0,0,0,0
E09000001,City of London,2013-14,530,433,42,56,9,0,0,0
E09000002,Barking and Dagenham,2013-14,"1,282","1,399",94,22,79,0,0,0
E09000003,Barnet,2013-14,"1,779",890,171,19,0,0,0,2
E09000004,Bexley Council,2013-14,"1,078",732,169,24,0,0,0,2
E09000005,Brent,2013-14,"7,001","3,189",360,310,442,35,0,13
E09000006,Bromley,2013-14,"2,809",653,49,89,21,0,0,8
E09000007,Camden,2013-14,"10,950","8,281",0,714,473,0,0,0
E09000008,Croydon,2013-14,"15,113",460,193,16,23,1,0,5
E09000009,Ealing,2013-14,"5,765","6,543","3,776",66,95,1,0,15
E09000010,Enfield,2013-14,"31,692","3,269",158,"1,008",76,2,0,415
E09000011,Greenwich,2013-14,"12,765","13,950",33,"1,975",100,0,0,4
E09000012,Hackney,2013-14,"7,635","10,495",136,358,"1,019",13,0,13
E09000013,Hammersmith and Fulham,2013-14,"9,011","1,719",0,59,85,0,0,4
E09000014,Haringey,2013-14,"31,045","7,633",15,840,"1,202",12,0,14
E09000015,Harrow,2013-14,"8,429",0,0,0,0,0,0,0
E09000016,Havering,2013-14,"3,620","13,393","6,279",346,"2,618",0,0,12
E09000017,Hillingdon,2013-14,"1,995","3,101",2,"2,439",660,0,0,0
E09000018,Hounslow,2013-14,"15,864",994,29,3,0,0,0,0
E09000019,Islington,2013-14,"2,634","8,646","1,005","5,979",567,0,0,14
E09000020,Kensington and Chelsea,2013-14,"6,934","6,353",3,222,1,1,0,3
E09000021,Kingston Upon Thames,2013-14,339,0,0,0,0,0,0,0
E09000022,Lambeth,2013-14,"1,206",0,0,0,0,0,0,0
E09000023,Lewisham,2013-14,"9,152","1,499",141,151,1,0,0,1
E09000024,Merton,2013-14,"3,064","1,305",200,284,116,0,0,6
E09000025,Newham,2013-14,"67,930","10,354",0,"7,057",872,0,0,0
E09000026,Redbridge,2013-14,"8,939","4,778","2,069",132,109,0,0,9
E09000027,Richmond Upon Thames,2013-14,"2,871","2,647",730,14,1,0,0,0
E09000028,Southwark,2013-14,"26,638","3,776",3,623,360,0,0,0
E09000029,Sutton,2013-14,"1,264",755,4,73,19,0,0,5
E09000030,Tower Hamlets,2013-14,"5,201","18,057","1,144","1,312",442,0,0,0
E09000031,Waltham Forest,2013-14,"4,723","17,176",254,872,"4,276",0,0,36
E09000032,Wandsworth,2013-14,"1,105","6,674","3,694",760,0,103,0,14
E09000033,Westminster,2013-14,"17,121","6,166","1,344","3,715",0,0,0,0
E09000001,City of London,2014-15,369,347,0,8,19,1,0,0
E09000002,Barking and Dagenham,2014-15,"2,564","3,100","1,061",357,709,0,0,0
E09000003,Barnet,2014-15,"11,615",219,36,26,0,0,0,0
E09000004,Bexley Council,2014-15,"1,162",399,53,18,0,0,0,4
E09000005,Brent,2014-15,"12,912","3,926",502,355,388,12,0,19
E09000006,Bromley,2014-15,"3,377",462,25,9,23,0,0,8
E09000007,Camden,2014-15,"8,308","4,837",0,94,490,0,0,0
E09000008,Croydon,2014-15,"18,560",712,29,24,82,0,0,7
E09000009,Ealing,2014-15,"7,257","5,521","3,676",38,22,2,0,20
E09000010,Enfield,2014-15,"50,121","4,937",75,"2,540",258,0,0,249
E09000011,Greenwich,2014-15,"14,324","17,667",108,"2,729",102,0,0,1
E09000012,Hackney,2014-15,"6,008","8,865",115,269,"1,288",8,0,14
E09000013,Hammersmith and Fulham,2014-15,"9,208","1,632",0,48,54,0,0,13
E09000014,Haringey,2014-15,"25,709","8,639",0,799,"1,183",12,0,22
E09000015,Harrow,2014-15,"7,072",995,84,0,64,5,0,6
E09000016,Havering,2014-15,"2,914","7,404","2,909",190,820,4,0,5
E09000017,Hillingdon,2014-15,"1,817",0,-,-,-,-,-,-
E09000018,Hounslow,2014-15,"16,282","2,190",0,0,0,0,0,0
E09000019,Islington,2014-15,"3,166","8,172",380,"5,742",458,0,0,16
E09000020,Kensington and Chelsea,2014-15,"6,603","6,651",3,248,0,3,0,2
E09000021,Kingston Upon Thames,2014-15,956,0,0,0,0,0,0,0
E09000022,Lambeth,2014-15,"4,056",0,0,0,0,0,0,0
E09000023,Lewisham,2014-15,"6,747","2,627",35,422,350,0,0,15
E09000024,Merton,2014-15,"3,819","6,985",535,"5,965",26,2,0,6
E09000025,Newham,2014-15,"70,192","8,620","4,083","2,122",757,0,0,0
E09000026,Redbridge,2014-15,"11,066","6,306","2,401",134,109,0,0,10
E09000027,Richmond Upon Thames,2014-15,"2,903",207,40,0,1,0,0,0
E09000028,Southwark,2014-15,"25,583","1,889",0,374,116,0,0,1
E09000029,Sutton,2014-15,"1,575",545,39,165,28,3,0,0
E09000030,Tower Hamlets,2014-15,"6,671","17,064","1,019","1,544",376,0,0,0
E09000031,Waltham Forest,2014-15,"6,127","17,361",285,408,"3,159",4,0,22
E09000032,Wandsworth,2014-15,"1,357","4,977","2,277",453,0,113,0,75
E09000033,Westminster,2014-15,"16,675","6,380",916,"4,877",10,0,0,0
E09000001,City of London,2015-16,627,587,0,58,104,0,0,0
E09000002,Barking and Dagenham,2015-16,"2,361","2,672",855,620,473,0,0,9
E09000003,Barnet,2015-16,"5,999",615,16,11,108,0,0,3
E09000004,Bexley Council,2015-16,"1,110",262,39,12,0,0,0,1
E09000005,Brent,2015-16,"13,198","3,980",296,400,282,1,1,17
E09000006,Bromley,2015-16,"3,343",326,13,13,4,0,0,3
E09000007,Camden,2015-16,"7,268","4,719",23,400,371,0,0,0
E09000008,Croydon,2015-16,0,"1,707",14,928,48,0,0,73
E09000009,Ealing,2015-16,"7,032","6,067","2,212","2,878",96,25,1,1
E09000010,Enfield,2015-16,"70,930","5,292",63,"1,776",613,2,0,66
E09000011,Greenwich,2015-16,"10,712","6,410",140,702,160,10,0,1
E09000012,Hackney,2015-16,"6,917","9,494",442,158,513,55,0,13
E09000013,Hammersmith and Fulham,2015-16,"10,829","1,868",0,41,47,0,0,18
E09000014,Haringey,2015-16,"34,975","3,615",28,448,"1,002",6,0,6
E09000015,Harrow,2015-16,"8,462","1,354",107,52,87,11,0,0
E09000016,Havering,2015-16,"3,726","8,523","2,912",213,297,1,0,5
E09000017,Hillingdon,2015-16,"7,267",620,0,0,0,0,0,0
E09000018,Hounslow,2015-16,"19,809","1,865",189,684,0,0,0,0
E09000019,Islington,2015-16,"4,174","8,250","1,815","4,635",460,0,0,4
E09000020,Kensington and Chelsea,2015-16,"6,105","6,308",0,212,12,0,0,0
E09000021,Kingston Upon Thames,2015-16,"1,263",0,0,0,0,0,0,0
E09000022,Lambeth,2015-16,"2,493",0,0,0,0,0,0,0
E09000023,Lewisham,2015-16,"5,514","2,611",85,579,419,0,0,7
E09000024,Merton,2015-16,"2,816","2,542",198,"2,037",1,1,0,7
E09000025,Newham,2015-16,"32,718","10,621",0,"1,206",613,0,0,0
E09000026,Redbridge,2015-16,"10,864","4,319","1,447",55,21,15,0,0
E09000027,Richmond Upon Thames,2015-16,"3,723","2,133",383,8,0,0,0,0
E09000028,Southwark,2015-16,"21,359","1,476",0,213,234,0,0,0
E09000029,Sutton,2015-16,"1,478",146,9,3,10,0,0,0
E09000030,Tower Hamlets,2015-16,"4,555","17,494",811,"1,433",301,0,0,0
E09000031,Waltham Forest,2015-16,"6,798","12,290",529,"3,257",941,1,0,3
E09000032,Wandsworth,2015-16,"1,712","8,547","3,995",649,0,55,0,0
E09000033,Westminster,2015-16,0,"3,447",267,"2,789",0,0,0,0
E09000001,City of London,2016-17,"1,731","1,944",0,155,204,2,0,1
E09000002,Barking and Dagenham,2016-17,"2,423","1,130",34,435,40,0,0,7
E09000003,Barnet,2016-17,"7,029",130,69,40,0,0,0,0
E09000004,Bexley Council,2016-17,"1,480",439,89,75,0,0,0,0
E09000005,Brent,2016-17,"17,340","4,366",365,267,655,13,0,10
E09000006,Bromley,2016-17,"3,246",228,13,4,3,0,0,5
E09000007,Camden,2016-17,"6,778","4,656",0,345,212,0,0,0
E09000008,Croydon,2016-17,"24,797",637,15,402,0,0,0,58
E09000009,Ealing,2016-17,"14,270","12,688","2,507","8,398",267,0,0,0
